call_type,call_type_clean,call_type_group
Assault,assault,Assault / Violence
Assault/Person needs assistance,assault / person needs assistance,Assault / Violence
"Assault* (Incident Changed to ""Emergency Evaluation"" after Dispatch/Response)",assault incident changed to emergency evaluation after dispatch / response,Assault / Violence
HARASSMENT,harassment,Assault / Violence
INTIMIDATION,intimidation,Assault / Violence
Partner Family Member Assault,partner family member assault,Assault / Violence
Sex Offense,sex offense,Assault / Violence
Sexual Assault,sexual assault,Assault / Violence
Shots Fired,shots fired,Assault / Violence
Suicidal / Assault w/ Weapon,suicidal / assault w / weapon,Assault / Violence
DISTURBANC,disturbance,Disturbance
DISTURBANCE,disturbance,Disturbance
Disturbance,disturbance,Disturbance
Disturbance / Emergency Eval,disturbance / emergency eval,Disturbance
Disturbance/Eval,disturbance / eval,Disturbance
Disturbance/Medical,disturbance / medical,Disturbance
Disturbance/PFMS,disturbance / pfms,Disturbance
DOMESTIC DISTURBANCE,domestic disturbance,Disturbance
Mental Health/Disturbance,mental health / disturbance,Disturbance
EMERGENCY EVAL,emergency evaluation,Emergency Evaluation
Emergency Eval,emergency evaluation,Emergency Evaluation
Emergency Evaluation,emergency evaluation,Emergency Evaluation
Energency Eval,emergency evaluation,Emergency Evaluation
Emergency Evaluation/Domestic Violence,emergency evaluation / domestic violence,Emergency Evaluation
Involuntary Evaluation,involuntary evaluation,Emergency Evaluation
MHE,mental health evaluation,Emergency Evaluation
MHE (MENTAL HEALTH EVALUATION),mhe mental health evaluation,Emergency Evaluation
INCORRIGIBLE JUVENILE,incorrigible juvenile,Juvenile / Runaway
Incorrigable,incorrigible juvenile,Juvenile / Runaway
Incorrigalbe Juvenile,incorrigible juvenile,Juvenile / Runaway
Incorrigible Juvenile,incorrigible juvenile,Juvenile / Runaway
Incorrigible juvenile,incorrigible juvenile,Juvenile / Runaway
Runaway,runaway,Juvenile / Runaway
RUNAWAY JUVENILE,runaway juvenile,Juvenile / Runaway
UNGOVERNABLE JUVENILE,ungovernable juvenile,Juvenile / Runaway
Medical,medical,Medical
Medical Assistance,medical assistance,Medical
Medical Call BLS,medical call bls,Medical
MEDICAL EMERGENCY,medical emergency,Medical
"Medical, Mental Health, Disorderly",medical mental health disorderly,Medical
Medical Standby,medical standby,Medical
Medical Stanby BLS,medical standby bls,Medical
Medical Stand-by BLS,medical standby bls,Medical
Medical Standby BLS,medical standby bls,Medical
Medical- then MH1,medical then mh1,Medical
Medical Transfer,medical transfer,Medical
Medical transfer,medical transfer,Medical
Overdose,overdose,Medical
Drugs/Mental Health,drugs / mental health,Mental Health Other
Invol,invol,Mental Health Other
Invol/Welfare,invol / welfare,Mental Health Other
Involuntary,involuntary,Mental Health Other
Involuntary Commitment,involuntary commitment,Mental Health Other
Involuntary MH commital,involuntary mh commital,Mental Health Other
MENTAL HEALTH,mental health,Mental Health Other
MH 1,mental health,Mental Health Other
