Variable,Odds_Ratio,P_Value,Coefficient
receiving_facility_model_Providence ED,6.901,0.0,1.9317
receiving_facility_model_Other Facility,2.322,0.0733,0.8424
repeat_contact_flag,1.447,0.049,0.3693
call_type_group_model_Emergency Evaluation,1.337,0.5689,0.2902
call_type_group_model_Other / Low Count,1.121,0.7377,0.1146
call_type_group_model_Welfare Check,1.023,0.9558,0.0229
housing_status_clean_Unknown,0.821,0.6249,-0.1969
housing_status_clean_Housed,0.521,0.0492,-0.6525
call_type_group_model_Suicidal / Self-Harm,0.511,0.0384,-0.6722
const,0.381,0.061,-0.965
housing_status_clean_Unhoused,0.376,0.0059,-0.9784
call_type_group_model_Person Needs Assistance,0.186,0.0,-1.6809
